classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
larger,exact_name,frame_channel_vb2_mmap,frame_channel_vb2_mmap,89,145,1.629213,56,356,580,5,5,6,6,1,1,23,26,
larger,exact_name,apical_sbus_read_u16,apical_sbus_read_u16,88,161,1.829545,73,352,644,14,18,3,3,1,1,2,4,
larger,exact_name,init_interp_2d_point,init_interp_2d_point,88,142,1.613636,54,352,568,14,12,1,1,1,1,2,2,
larger,replacement,vic_core_ops_ioctl,"vic_core_ops_ioctl,vic_core_ops_private_ioctl",86,125,1.453488,39,344,500,17,15,3,5,2,2,10,10,
larger,exact_name,isp_de_hilight_show,isp_de_hilight_show,85,148,1.741176,63,340,592,5,5,10,11,1,1,16,32,
larger,exact_name,cmos_update_exposure_partitioning_lut,cmos_update_exposure_partitioning_lut,84,166,1.976190,82,336,664,10,13,2,4,1,1,12,18,
larger,exact_name,i2c_io_read_sample,i2c_io_read_sample,84,152,1.809524,68,336,608,14,15,4,4,1,1,9,8,
larger,exact_name,color_matrix_recalculate,color_matrix_recalculate,83,133,1.602410,50,332,532,3,5,5,3,1,1,15,14,
larger,exact_name,awb_mode,awb_mode,81,152,1.876543,71,324,608,12,14,3,3,2,1,14,18,
larger,exact_name,sensor_sw_init,sensor_sw_init,81,143,1.765432,62,324,572,1,0,15,16,0,1,10,30,
larger,exact_name,isp_frame_done_wait,isp_frame_done_wait,81,141,1.740741,60,324,572,7,13,3,3,1,1,19,23,
larger,exact_name,apical_fw_interrupts_init,apical_fw_interrupts_init,81,138,1.703704,57,324,552,1,0,15,16,0,1,22,48,
larger,exact_name,temper,temper,81,130,1.604938,49,324,520,13,15,7,7,1,1,12,20,
larger,exact_name,release_tx_isp_core_device,release_tx_isp_core_device,79,110,1.392405,31,316,440,2,3,13,12,0,1,28,26,
larger,exact_name,isp_de_hilight_strength_set,isp_de_hilight_strength_set,78,145,1.858974,67,312,580,7,8,7,7,1,1,12,14,
larger,exact_name,sinter,sinter,78,139,1.782051,61,312,556,12,16,7,8,1,1,12,24,
